date,debits,credits,category,item,type,source,account
2024-12-19,10.84,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2024-12-20,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-21,4.4,0.0,Transit,BLINK BRIDGEPORT - POS CHICAGO IL,expense,discover,Discover Card
2024-12-21,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2024-12-21,18.37,0.0,Dining,POPEYES 2865 / 815 773-254-2200 ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-21,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-22,5.14,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2024-12-22,28.33,0.0,Dining,CHIPOTLE 4958 CHICAGO IL,expense,discover,Discover Card
2024-12-23,17.99,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2024-12-24,0.0,219.11,Card Payment,INTERNET PAYMENT - THANK YOU,transfer,discover,Discover Card
2024-12-24,73.42,0.0,Groceries,MARIANOS #520 CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-24,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-26,0.75,0.0,Gas,BP#16361905616 FUEL INC CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-26,6.99,0.0,Gas,BP#16361905616 FUEL INC CHICAGO IL,expense,discover,Discover Card
2024-12-26,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-27,1.5,0.0,Gas,BP#16361905616 FUEL INC CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-28,3.53,0.0,Gas,BP#16361905616 FUEL INC CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
2024-12-28,43.18,0.0,Taxes & Government,CTYCHGO PARKNG TICK CHICAGO IL,expense,discover,Discover Card
2024-12-28,1.0,0.0,Taxes & Government,CTYCHGO*SERVICEFEE CHICAGO IL,expense,discover,Discover Card
2024-12-28,5.0,0.0,Transit,VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 5949,expense,discover,Discover Card
